PGA,R,M,V
1,-1,-0.657142857,0.178449212
2,-0.738351959,-0.657142857,0.178449212
3,-0.585297666,-0.657142857,0.178449212
4,-0.476703917,-0.657142857,0.178449212
5,-0.392472062,-0.657142857,0.178449212
6,-0.323649625,-0.657142857,0.178449212
7,-0.265461083,-0.657142857,0.178449212
8,-0.215055876,-0.657142857,0.178449212
9,-0.170595332,-0.657142857,0.178449212
10,-0.130824021,-0.657142857,0.178449212
11,-0.094846493,-0.657142857,0.178449212
12,-0.062001584,-0.657142857,0.178449212
13,-0.031787196,-0.657142857,0.178449212
14,-0.003813042,-0.657142857,0.178449212
15,0.022230272,-0.657142857,0.178449212
16,0.046592165,-0.657142857,0.178449212
17,0.069476646,-0.657142857,0.178449212
18,0.091052709,-0.657142857,0.178449212
19,0.111461913,-0.657142857,0.178449212
20,0.130824021,-0.657142857,0.178449212
21,0.14924125,-0.657142857,0.178449212
22,0.166801548,-0.657142857,0.178449212
23,0.183581125,-0.657142857,0.178449212
24,0.199646458,-0.657142857,0.178449212
25,0.215055876,-0.657142857,0.178449212
26,0.229860845,-0.657142857,0.178449212
27,0.244107002,-0.657142857,0.178449212
28,0.257834999,-0.657142857,0.178449212
29,0.271081212,-0.657142857,0.178449212
30,0.283878313,-0.657142857,0.178449212
31,0.296255761,-0.657142857,0.178449212
32,0.308240206,-0.657142857,0.178449212
33,0.319855841,-0.657142857,0.178449212
34,0.331124688,-0.657142857,0.178449212
35,0.342066855,-0.657142857,0.178449212
36,0.35270075,-0.657142857,0.178449212
37,0.363043269,-0.657142857,0.178449212
38,0.373109955,-0.657142857,0.178449212
39,0.382915138,-0.657142857,0.178449212
40,0.392472062,-0.657142857,0.178449212
41,0.401792988,-0.657142857,0.178449212
42,0.410889292,-0.657142857,0.178449212
43,0.419771545,-0.657142857,0.178449212
44,0.42844959,-0.657142857,0.178449212
45,0.436932606,-0.657142857,0.178449212
46,0.445229167,-0.657142857,0.178449212
47,0.453347293,-0.657142857,0.178449212
48,0.461294499,-0.657142857,0.178449212
49,0.469077833,-0.657142857,0.178449212
50,0.476703917,-0.657142857,0.178449212
51,0.48417898,-0.657142857,0.178449212
52,0.491508887,-0.657142857,0.178449212
53,0.498699168,-0.657142857,0.178449212
54,0.505755043,-0.657142857,0.178449212
55,0.512681445,-0.657142857,0.178449212
56,0.51948304,-0.657142857,0.178449212
57,0.526164247,-0.657142857,0.178449212
58,0.532729253,-0.657142857,0.178449212
59,0.539182032,-0.657142857,0.178449212
60,0.545526354,-0.657142857,0.178449212
61,0.551765808,-0.657142857,0.178449212
62,0.557903802,-0.657142857,0.178449212
63,0.563943584,-0.657142857,0.178449212
64,0.569888248,-0.657142857,0.178449212
65,0.575740742,-0.657142857,0.178449212
66,0.581503882,-0.657142857,0.178449212
67,0.587180355,-0.657142857,0.178449212
68,0.592772729,-0.657142857,0.178449212
69,0.598283459,-0.657142857,0.178449212
70,0.603714896,-0.657142857,0.178449212
71,0.609069288,-0.657142857,0.178449212
72,0.614348792,-0.657142857,0.178449212
73,0.619555472,-0.657142857,0.178449212
74,0.624691311,-0.657142857,0.178449212
75,0.62975821,-0.657142857,0.178449212
76,0.634757996,-0.657142857,0.178449212
77,0.639692424,-0.657142857,0.178449212
78,0.644563179,-0.657142857,0.178449212
79,0.649371886,-0.657142857,0.178449212
80,0.654120103,-0.657142857,0.178449212
81,0.658809335,-0.657142857,0.178449212
82,0.663441029,-0.657142857,0.178449212
83,0.66801658,-0.657142857,0.178449212
84,0.672537333,-0.657142857,0.178449212
85,0.677004584,-0.657142857,0.178449212
86,0.681419586,-0.657142857,0.178449212
87,0.685783546,-0.657142857,0.178449212
88,0.690097631,-0.657142857,0.178449212
89,0.694362968,-0.657142857,0.178449212
90,0.698580647,-0.657142857,0.178449212
91,0.702751721,-0.657142857,0.178449212
92,0.706877208,-0.657142857,0.178449212
93,0.710958095,-0.657142857,0.178449212
94,0.714995335,-0.657142857,0.178449212
95,0.718989852,-0.657142857,0.178449212
96,0.72294254,-0.657142857,0.178449212
97,0.726854268,-0.657142857,0.178449212
98,0.730725874,-0.657142857,0.178449212
99,0.734558175,-0.657142857,0.178449212
100,0.738351959,-0.657142857,0.178449212
101,0.742107993,-0.657142857,0.178449212
102,0.745827021,-0.657142857,0.178449212
103,0.749509766,-0.657142857,0.178449212
104,0.753156928,-0.657142857,0.178449212
105,0.756769188,-0.657142857,0.178449212
106,0.760347209,-0.657142857,0.178449212
107,0.763891632,-0.657142857,0.178449212
108,0.767403084,-0.657142857,0.178449212
109,0.770882172,-0.657142857,0.178449212
110,0.774329486,-0.657142857,0.178449212
111,0.777745603,-0.657142857,0.178449212
112,0.781131082,-0.657142857,0.178449212
113,0.784486467,-0.657142857,0.178449212
114,0.787812289,-0.657142857,0.178449212
115,0.791109064,-0.657142857,0.178449212
116,0.794377295,-0.657142857,0.178449212
117,0.797617472,-0.657142857,0.178449212
118,0.800830073,-0.657142857,0.178449212
119,0.804015563,-0.657142857,0.178449212
120,0.807174396,-0.657142857,0.178449212
121,0.810307014,-0.657142857,0.178449212
122,0.813413849,-0.657142857,0.178449212
123,0.816495322,-0.657142857,0.178449212
124,0.819551843,-0.657142857,0.178449212
125,0.822583814,-0.657142857,0.178449212
126,0.825591626,-0.657142857,0.178449212
127,0.82857566,-0.657142857,0.178449212
128,0.831536289,-0.657142857,0.178449212
129,0.834473878,-0.657142857,0.178449212
130,0.837388784,-0.657142857,0.178449212
131,0.840281352,-0.657142857,0.178449212
132,0.843151923,-0.657142857,0.178449212
133,0.84600083,-0.657142857,0.178449212
134,0.848828396,-0.657142857,0.178449212
135,0.85163494,-0.657142857,0.178449212
136,0.85442077,-0.657142857,0.178449212
137,0.857186192,-0.657142857,0.178449212
138,0.859931501,-0.657142857,0.178449212
139,0.862656988,-0.657142857,0.178449212
140,0.865362937,-0.657142857,0.178449212
141,0.868049627,-0.657142857,0.178449212
142,0.87071733,-0.657142857,0.178449212
143,0.873366311,-0.657142857,0.178449212
144,0.875996833,-0.657142857,0.178449212
145,0.87860915,-0.657142857,0.178449212
146,0.881203513,-0.657142857,0.178449212
147,0.883780167,-0.657142857,0.178449212
148,0.886339352,-0.657142857,0.178449212
149,0.888881303,-0.657142857,0.178449212
150,0.891406251,-0.657142857,0.178449212
151,0.893914422,-0.657142857,0.178449212
152,0.896406037,-0.657142857,0.178449212
153,0.898881314,-0.657142857,0.178449212
154,0.901340465,-0.657142857,0.178449212
155,0.903783699,-0.657142857,0.178449212
156,0.906211221,-0.657142857,0.178449212
157,0.908623231,-0.657142857,0.178449212
158,0.911019927,-0.657142857,0.178449212
159,0.913401501,-0.657142857,0.178449212
160,0.915768145,-0.657142857,0.178449212
161,0.918120042,-0.657142857,0.178449212
162,0.920457377,-0.657142857,0.178449212
163,0.922780328,-0.657142857,0.178449212
164,0.925089071,-0.657142857,0.178449212
165,0.927383779,-0.657142857,0.178449212
166,0.929664622,-0.657142857,0.178449212
167,0.931931766,-0.657142857,0.178449212
168,0.934185374,-0.657142857,0.178449212
169,0.936425608,-0.657142857,0.178449212
170,0.938652626,-0.657142857,0.178449212
171,0.940866581,-0.657142857,0.178449212
172,0.943067627,-0.657142857,0.178449212
173,0.945255914,-0.657142857,0.178449212
174,0.947431587,-0.657142857,0.178449212
175,0.949594793,-0.657142857,0.178449212
176,0.951745672,-0.657142857,0.178449212
177,0.953884365,-0.657142857,0.178449212
178,0.956011009,-0.657142857,0.178449212
179,0.95812574,-0.657142857,0.178449212
180,0.960228688,-0.657142857,0.178449212
181,0.962319986,-0.657142857,0.178449212
182,0.964399762,-0.657142857,0.178449212
183,0.966468142,-0.657142857,0.178449212
184,0.968525249,-0.657142857,0.178449212
185,0.970571207,-0.657142857,0.178449212
186,0.972606136,-0.657142857,0.178449212
187,0.974630153,-0.657142857,0.178449212
188,0.976643376,-0.657142857,0.178449212
189,0.978645918,-0.657142857,0.178449212
190,0.980637893,-0.657142857,0.178449212
191,0.982619411,-0.657142857,0.178449212
192,0.984590582,-0.657142857,0.178449212
193,0.986551512,-0.657142857,0.178449212
194,0.988502309,-0.657142857,0.178449212
195,0.990443076,-0.657142857,0.178449212
196,0.992373916,-0.657142857,0.178449212
197,0.994294929,-0.657142857,0.178449212
198,0.996206216,-0.657142857,0.178449212
199,0.998107874,-0.657142857,0.178449212
200,1,-0.657142857,0.178449212
